Cust No.,First Name,Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Num Of Policies,Credit Card,Active Member,Salary,Exited
1,Walter,Hargrave,619,France,Female,42,2,,1,Yes,Yes,101349,1
2,Daniel,Hill,608,Spain,Female,41,1,83807.86,1,No,Yes,112543,0
3,Melissa,Onio,502,France,Female,42,8,159660.8,3,Yes,No,113932,1
4,Miley,Boni,699,France,Female,39,1,,2,No,No,93827,0
5,James,Mitchell,850,Spain,Female,43,2,125510.82,1,Yes,Yes,79084,0
6,Paige,Chu,645,Spain,Male,44,8,113755.78,2,Yes,No,149757,1
7,Fiona,Bartlett,822,France,Male,50,7,,2,Yes,Yes,10063,0
8,Oliver,Obinna,376,Germany,Female,29,4,115046.74,4,Yes,No,119347,1
9,Adam,He,501,France,Male,44,4,142051.07,2,No,Yes,74941,0
10,Oscar,H?,684,France,Male,27,2,134603.88,1,Yes,Yes,71726,0
11,Miller,Bearce,528,France,Male,31,6,102016.72,2,No,No,80181,0
12,Sarah,Andrews,497,Spain,Male,24,3,,2,Yes,No,76390,0
13,Julia,Kay,476,France,Female,34,10,,2,Yes,No,26261,0
14,Hailey,Chin,549,France,Female,25,5,,2,No,No,190858,0
15,Ted,Scott,635,Spain,Female,35,7,,2,Yes,Yes,65952,0
16,Jasmine,Goforth,616,Germany,Male,45,3,143129.41,2,No,Yes,64327,0
17,Briony,Romeo,653,Germany,Male,58,1,132602.88,1,Yes,No,5098,1
18,Ted,Henderson,549,Spain,Female,24,9,,2,Yes,Yes,14406,0
19,Edgar,Muldrow,587,Spain,Male,45,6,,1,No,No,158685,0
20,Roman,Hao,726,France,Female,24,6,,2,Yes,Yes,54724,0
21,Heather,McDonald,732,France,Male,41,8,,2,Yes,Yes,170886,0
22,Ada,Dellucci,636,Spain,Female,32,8,,2,Yes,No,138555,0
23,Cadie,Gerasimov,510,Spain,Female,38,4,,1,Yes,No,118914,1
24,Jordan,Mosman,669,France,Male,46,3,,2,No,Yes,8488,0
25,Edwin,Yen,846,France,Female,38,5,,1,Yes,Yes,187616,0
26,Alan,Maclean,577,France,Male,25,3,,2,No,Yes,124508,0
27,Preston,Young,756,Germany,Male,36,2,136815.64,1,Yes,Yes,170042,0
28,Brianna,Nebechi,571,France,Male,44,9,,2,No,No,38433,0
29,Gianna,McWilliams,574,Germany,Female,43,3,141349.43,1,Yes,Yes,100187,0
30,Bruce,Lucciano,411,France,Male,29,0,59697.17,2,Yes,Yes,53483,0
31,Reid,Azikiwe,591,Spain,Female,39,3,,3,Yes,No,140469,1
32,Dainton,Odinakachukwu,533,France,Male,36,7,85311.7,1,No,Yes,156732,0
33,Lilianna,Sanderson,553,Germany,Male,41,9,110112.54,2,No,No,81899,0
34,Owen,Maggard,520,Spain,Female,42,6,,2,Yes,Yes,34411,0
35,Tara,Clements,722,Spain,Female,29,9,,2,Yes,Yes,142033,0
36,Harold,Lombardo,475,France,Female,45,0,134264.04,1,Yes,No,27823,1
37,Maya,Watson,490,Spain,Male,31,3,145260.23,1,No,Yes,114067,0
38,Jessica,Lorenzo,804,Spain,Male,33,7,76548.6,1,No,Yes,98453,0
39,Lucia,Armstrong,850,France,Male,36,7,,1,Yes,Yes,40813,0
40,Rosie,Cameron,582,Germany,Male,41,6,70349.48,2,No,Yes,178074,0
41,Jenna,Hsiao,472,Spain,Male,40,4,,1,Yes,No,70154,0
42,Michael,Clarke,465,France,Female,51,8,122522.32,1,No,No,181298,1
43,Gianna,Osborne,556,France,Female,61,2,117419.35,1,Yes,Yes,94154,0
44,Lucy,Lavine,834,France,Female,49,2,131394.56,1,No,No,194366,1
45,Cadie,Bianchi,660,Spain,Female,61,5,155931.11,1,Yes,Yes,158338,0
46,Alexia,Tyler,776,Germany,Female,32,4,109421.13,2,Yes,Yes,126517,0
47,Lucia,Martin,829,Germany,Female,27,9,112045.67,1,Yes,Yes,119708,1
48,Tess,Okagbue,637,Germany,Female,39,9,137843.8,1,Yes,Yes,117623,1
49,Bruce,Yin,550,Germany,Male,38,2,103391.38,1,No,Yes,90878,0
50,Jack,Buccho,776,Germany,Female,37,2,103769.22,2,Yes,No,194099,0
51,Natalie,Chidiebele,698,Germany,Male,44,10,116363.37,2,Yes,No,198059,0
52,William,Trevisani,585,Germany,Male,36,5,146050.97,2,No,No,86425,0
53,Elise,O'Brien,788,France,Female,33,5,,2,No,No,116978,0
54,Ted,Parkhill,655,Germany,Male,41,8,125561.97,1,No,No,164041,1
55,Steven,Yoo,601,Germany,Male,42,1,98495.72,1,Yes,No,40015,1
56,Amber,Phillipps,619,France,Male,43,1,125211.92,1,Yes,Yes,113410,0
57,Robert,Tsao,656,France,Male,45,5,127864.4,1,Yes,No,87108,0
58,Adele,Endrizzi,725,Germany,Male,19,0,75888.2,1,No,No,45614,0
59,Andrew,T'ien,511,Spain,Female,66,4,,1,Yes,No,1643,1
60,Walter,Velazquez,614,France,Male,51,4,40685.92,1,Yes,Yes,46775,0
61,Sydney,Hunter,742,Germany,Male,35,5,136857,1,No,No,84510,0
62,Haris,Clark,687,Germany,Female,27,9,152328.88,2,No,No,126495,0
63,Charlie,Jeffrey,555,Spain,Male,33,1,56084.69,2,No,No,178798,0
64,Kirsten,Pirozzi,684,Spain,Male,56,8,78707.16,1,Yes,Yes,99398,0
65,Paul,Jackson,603,Germany,Male,26,4,109166.37,1,Yes,Yes,92841,0
66,Marcus,Hammond,751,Germany,Female,36,6,169831.46,2,Yes,Yes,27758,0
67,Honey,Brownless,581,Germany,Female,34,1,101633.04,1,Yes,No,110432,0
68,Victoria,Chibugo,735,Germany,Male,43,10,123180.01,2,Yes,Yes,196673,0
69,Miranda,Glauert,661,Germany,Female,35,5,150725.53,2,No,Yes,113657,0
70,Brianna,Pisano,675,France,Female,21,8,98373.26,1,Yes,No,18203,0
71,Tyler,Konovalova,738,Germany,Male,58,2,133745.44,4,Yes,No,28374,1
72,Fiona,McKee,813,France,Male,29,6,,1,Yes,No,33954,0
73,Chloe,Palermo,657,Spain,Female,37,0,163607.18,1,No,Yes,44204,0
74,Alina,Ballard,604,Germany,Female,25,5,157780.84,2,Yes,Yes,58427,0
75,Emma,Wallace,519,France,Male,36,9,,2,No,Yes,145562,0
76,Arnold,Cavenagh,735,France,Female,21,1,178718.19,2,Yes,No,22388,0
77,Edward,Hu,664,France,Male,55,8,,2,Yes,Yes,139162,0
78,Charlotte,Read,678,France,Female,32,9,,1,Yes,Yes,148211,0
79,William,Bushell,757,Spain,Male,33,5,77253.22,1,No,Yes,194240,0
80,Michael,Postle,416,Germany,Female,41,10,122189.66,2,Yes,No,98302,0
81,Lyndon,Buley,665,France,Female,34,1,96645.54,2,No,No,171414,0
82,Frederick,Leonard,777,France,Female,32,2,,1,Yes,No,136458,1
